movie_index,similarity_score,movie_title
2897,0.038348964488879464,Cypher
1851,0.03833767459579545,Nothing to Lose
2157,0.03819377660216779,Daybreakers
2398,0.03801386730585455,Hitman
1058,0.03796299063092506,Changing Lanes
369,0.03770658592834469,Lara Croft Tomb Raider: The Cradle of Life
48,0.037625413030559,Jack the Giant Slayer
1873,0.03752510050405391,Blood Ties
4113,0.03745713210367729,The Virginity Hit
3350,0.03743238100979175,Logan's Run
421,0.03728156410761371,Zodiac
446,0.03719087176544981,Con Air
3093,0.03687235132928715,Owning Mahowny
4155,0.036811392981254534,The Legend of Hell's Gate: An American Conspiracy
4319,0.036780613584873445,Waiting...
380,0.03661638871309457,Cinderella Man
1252,0.03642427596071727,Marie Antoinette
4025,0.03639318045639819,Religulous
3008,0.036382655240305865,A Low Down Dirty Shame
